Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
159,Manuel Riemann,de GER,Bochum,de Bundesliga,34,1988,33,33,2970,70,2.12,185,116,67.0,7,12,14,4,12.1,9,2,18.2
160,Rémy Riou,fr FRA,Lyon,fr Ligue 1,35,1987,3,3,270,6,2.00,14,8,57.1,0,1,2,1,33.3,0,0,Unknown
161,Francesco Rossi,it ITA,Atalanta,it Serie A,32,1991,1,0,5,0,0.00,1,1,100.0,0,0,0,1,Unknown,0,0,Unknown
162,Frederik Rønnow,dk DEN,Union Berlin,de Bundesliga,30,1992,33,33,2970,56,1.70,162,105,68.5,9,6,18,7,21.2,5,2,28.6
163,José Sá,pt POR,Wolves,eng Premier League,30,1993,35,35,3037,58,1.72,188,131,73.4,12,7,16,4,11.4,8,0,0.0
164,Brice Samba,fr FRA,Lens,fr Ligue 1,29,1994,33,33,2970,35,1.06,136,101,78.7,14,8,11,14,42.4,6,1,14.3
165,Robert Sánchez,es ESP,Chelsea,eng Premier League,25,1997,16,16,1433,25,1.57,78,52,70.5,5,4,7,3,18.8,2,1,33.3
166,Marcel Schuhen,de GER,Darmstadt 98,de Bundesliga,30,1993,31,31,2790,76,2.45,198,123,62.1,3,7,21,3,9.7,1,1,50.0
167,Marvin Schwäbe,de GER,Köln,de Bundesliga,28,1995,34,34,3060,60,1.76,168,108,66.1,5,12,17,4,11.8,3,0,0.0
168,Alexander Schwolow,de GER,Union Berlin,de Bundesliga,31,1992,1,1,90,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,Unknown
169,Simone Scuffet,it ITA,Cagliari,it Serie A,27,1996,31,31,2789,55,1.77,129,76,59.7,8,10,13,3,9.7,3,0,0.0
170,Matz Sels,be BEL,Nott'ham Forest,eng Premier League,31,1992,16,16,1440,27,1.69,61,36,57.4,4,4,8,1,6.3,1,0,0.0
171,Matz Sels,be BEL,Strasbourg,fr Ligue 1,31,1992,19,19,1710,24,1.26,62,40,62.9,6,7,6,3,15.8,1,0,0.0
172,James Shea,eng ENG,Luton Town,eng Premier League,32,1991,1,0,15,0,0.00,2,2,100.0,0,0,0,0,Unknown,0,0,Unknown
173,Rui Silva,pt POR,Betis,es La Liga,29,1994,28,28,2475,36,1.31,120,85,75.8,10,9,9,9,32.1,7,1,12.5
174,Marco Silvestri,it ITA,Udinese,it Serie A,32,1991,17,17,1530,28,1.65,68,40,67.6,1,11,5,4,23.5,6,0,0.0
